id;bundle_id;customer_name;booking_start_date;booking_end_date;booking_start_time;booking_end_time
1;13495;antique;2024-01-17;2024-01-17;2024-01-18T11:34:39;2024-01-18T05:36:41
2;12326;if woot without;2024-01-18;2024-01-17;2024-01-18T03:59:06;2024-01-17T19:05:24
3;9803;evade;2024-01-18;2024-01-18;2024-01-18T04:20:12;2024-01-18T11:57:11
4;12294;expense phony;2024-01-17;2024-01-18;2024-01-17T18:58:13;2024-01-18T02:07:01
5;4368;silent;2024-01-17;2024-01-17;2024-01-17T15:28:13;2024-01-18T06:34:17
6;1488;uh-huh understated pumpkin;2024-01-18;2024-01-18;2024-01-17T20:54:21;2024-01-18T05:21:24
7;13614;hm jaggedly;2024-01-17;2024-01-18;2024-01-17T15:08:26;2024-01-17T13:55:05
8;20042;pro;2024-01-18;2024-01-17;2024-01-18T04:58:09;2024-01-17T13:41:23
9;32120;inasmuch gee;2024-01-18;2024-01-18;2024-01-18T07:11:27;2024-01-18T12:22:37
10;21704;ugh;2024-01-17;2024-01-18;2024-01-17T21:48:21;2024-01-18T08:45:12
